"* Required Fields","* الحقول المطلوبة"
"Config","إعداد"
"Confirm New Password","تأكيد كلمة المرور الجديدة"
"Confirm Password","تأكيد كلمة المرور"
"Confirmation Link Email","تأكيد رابط البريد الإلكتروني"
"Confirmed","مؤكد"
"Contact Information","بيانات الإتصال"
"Continue Shopping","مواصلة التسوق"
"Country","الدولة"
"Create","إنشاء"
"Create New Account Options","خيارات إنشاء حساب جديد"
"Create New Customer Account","إنشاء حساب زبون جديد"
"Create Order","إنشاء طلب شراء"
"Create an Account","إنشاء حساب"
"Create customer","إنشاء زبون"
"Create customer address","إنشاء عنوان زبون"
"Current Password","كلمة المرور الحالية"
"Customer","الزبون"
"Customer Addresses","عناوين الزبون"
"Customer Api","Customer Api"
"Customer Configuration","إعدادات الزبون"
"Customer Group","مجموعة الزبون"
"Customer Group was successfully deleted","تم حذف مجموعة الزبون بنجاح"
"Customer Group was successfully saved","تم حفظ مجموعة الزبون بنجاح"
"Customer Groups","مجموعات الزبون"
"Customer Information","بيانات الزبون"
"Customer Login","تسجيل دخول الزبون"
"Customer Since","زبون منذ"
"Customer View","عرض الزبون"
"Customer collection expected","Customer collection expected"
"Customer doesn't have primary billing address","الزبون ليس لديه عنوان دفع رئيسي"
"Customer email already exists","البريد الإلكتروني للزبون موجود مسبقاً"
"Customer website id must be specified, when using website scope.","Customer website id must be specified, when using website scope."
"Customers","الزبائن"
"Customers Only","الزبائن فقط"
"Customers Section","قسم الزبائن"
"DD","اليوم"
"Date","التاريخ"
"Date Added","التاريخ الإضافة"
"Date of Birth","تاريخ الميلاد"
"Date of Birth is required.","تاريخ الميلاد مطلوب."
"Day","يوم"
"Days in Wishlist","الأيام في قائمة الأمنيات"
"Default Addresses","العناوين الإفتراضية"
"Default Billing Address","عنوان الدفع الإفتراضي"
"Default Email Domain","Default Email Domain"
"Default Group","المجموعة الإفتراضية"
"Default Shipping Address","عنوان الشحن الإفتراضي"
"Default Welcome Email","بريد الترحيب الإلكتروني"
"Delete","حذف"
"Delete Address","حذف العنوان"
"Delete Customer","حذف الزبون"
"Delete Customer Group","حذف مجموعة الزبون"
"Delete customer","حذف زبون"
"Delete customer address","حذف عنوان الزبون"
"Deleted Stores","المتاجر المحذوفة"
"Details","التفاصيل"
"Disabled","غير مفعل"
"Edit","تحرير"
"Edit Account Info","تحرير معلومات الحساب"
"Edit Account Information","تحرير معلومات الحساب"
"Edit Address","تحرير العنوان"
"Edit Address Entry","تحرير مدخل العنوان"
"Edit Customer Group ""%s""","تحرير مجموعة الزبون ""%s"""
"Edit Customer Groups","تحرير مجموعات الزبون"
"Edit Customer's Address","تحرير عنوان الزبون"
"Edit Group","تحرير مجموعة"
"Edit Newsletter Subscription","تحرير اشتراك النشرة البريدية"
"Edit Newsletters","تحرير النشرات البريدية"
"Edit Personal Information","تحرير البيانات الشخصية"
"Email","البريد الإلكتروني"
"Email Address","عنوان البريد الإلكتروني"
"Email Sender","مرسل البريد الإلكتروني"
"Entity collection is expected","Entity collection is expected"
"Error during retrieval of option value: %s","خطأ أثناء استرداد قيمة الخيار: %s"
"Ext. Price","التحويلة. السعر"
"Failed to confirm customer account.","Failed to confirm customer account."
"Fax","فاكس"
"First Name","الاسم الأول"
"First name can't be empty","يجب تعبئة الإسم الأول"
"Forgot Email Sender","نسيت البريد الالكتروني للمرسل"
"Forgot Email Template","نسيت البريد الالكتروني للقالب"
"Forgot Your Password?","نسيت كلمة المرور؟"
"General Subscription","اشتراك عام"
"Global","عالمي"
"Go to Address Book","اذهب الى دفتر العناوين"
"Grand Total","المجموع الكلي"
"Grand Total: %s","المجموع الكلي: %s"
"Group","مجموعة"
"Group ""%s"" can not be deleted","مجموعة ""%s"" لا يمكن حذفها"
"Group Information","بيانات المجموعة"
"Group Name","اسم المجموعة"
"Guest","زائر"
"HTML","لغة النص التشعبي"
"Hello, %s!","مرحبا، %s!"
"ID","الرمز التعريفي"
"IP Address","IP Address"
"If you have an account with us, please log in.","إذا كنت تمتلك حسابا مع jordanshopper.com، من فضلك قم بتسجيل الدخول."
"Invalid attribute option specified for attribute %s (%s), skipping the record","Invalid attribute option specified for attribute %s (%s), skipping the record"
"Invalid attribute set specified, skipping the record","Invalid attribute set specified, skipping the record"
"Invalid current password","كلمة المرور الحالية غير صحيحة"
"Invalid customer data","بيانات الزبون غير صحيحة"
"Invalid email address","عنوان البريد الإلكتروني غير صحيح"
"Invalid email address ""%s""","Invalid email address ""%s"""
"Invalid login or password.","البريد الإلكتروني و كلمة المرور غير صحيحة."
"Invalid option id specified for %s (%s), skipping the record","غير صالح الخيار رقم تعريف محدد لل %s (%s), اهمال التسجيل"
"Invalid store specified, skipping the record","Invalid store specified, skipping the record"
"Items Order","ترتيب الأصناف"
"Last 5 Orders","اخر 5 طلبات"
"Last Activity","اخر نشاط"
"Last Name","اسم العائلة"
"Last Url","اخر رابط"
"Last Viewed Items","آخر السلع المشاهدة"
"Last date subscribed","تاريخ آخر اشتراك"
"Last date unsubscribed","تاريخ آخر إلغاء اشتراك"
"Last name can't be empty","يجب تعبئة إسم العائلة"
"Leave empty for default (15 minutes).","Leave empty for default (15 minutes)."
"Leave empty for default (2). Valid range: 1-4","Leave empty for default (2). Valid range: 1-4"
"Lifetime Sales","عمر المبيعات"
"Log In","تسجيل الدخول"
"Log Out","تسجيل الخروج"
"Log in or Create an Account","تسجيل دخول أو إنشاء حساب"
"Login","تسجيل الدخول"
"Login Information","بيانات تسجيل الدخول"
"Login and password are required","تسجيل الدخول و الرقم السري مطلوبين"
"Login or Create an Account","تسجيل دخول او انشاء حساب"
"M.I.","M.I."
"MM","الشهر"
"Manage Addresses","إدارة العناوين"
"Manage Customers","إدارة الزبائن"
"Missing email, skipping the record","المفقودين البريد الالكتروني ، تخطى سجل"
"Missing firstname, skipping the record","الإسم الأول غير موجود, تخطي سجل"
"Missing lastname, skipping the record","إسم العائلة غير موجود, اهمال التسجيل"
"Month","شهر"
"My Account","حسابي"
"My Account Dashboard","لوحة التحكم"
"My Dashboard","لوحة التحكم"
"My Orders","طلبياتي"
"My Reviews","آرائي"
"My Tags","أوسمتي"
"My Wishlist","قائمة الأماني"
"Name","الإسم"
"Name and Address Options","Name and Address Options"
"Never","أبداً"
"New Address","عنوان جديد"
"New Address Entry","مدخل عنوان جديد"
"New Customer","زبون جديد"
"New Customer Address","عنوان زبون جديد"
"New Customer Group","مجموعة زبون جديدة"
"New Customer Groups","مجموعات زبون جديدة"
"New Customers","زبائن جدد"
"New Group","مجموعة جديدة"
"New Password","كلمة مرور جديدة"
"New account","حساب جديد"
"New account confirmation key","مفتاح التفعيل للحساب الجديد"
"New account confirmed","تم تفعيل الحساب الجديد"
"New password","كلمة مرور جديدة"
"Newsletter","النشرة البريدية"
"Newsletter Finish","نهاية النشرة"
"Newsletter Information","بيانات النشرة البريدية"
"Newsletter Received","تم استلام النشرة البريدية"
"Newsletter Start","بداية النشرة"
"Newsletter Subscription","الإشتراك بالنشرة البريدية"
"Newsletters","النشرات البريدية"
"No Items Found","لم يتم العثور على أصناف"
"No Newsletter Found","لم يتم العثور على نشرات اخبارية"
"No item specified.","لم يتم تحديد أي صنف."
"No product collections found","لم يتم العثور على مجموعات المنتجات"
"Not Sent","لم ترسل"
"Not confirmed, can login","Not confirmed, can login"
"Not confirmed, cannot login","Not confirmed, cannot login"
"Number of lines in a street address ","Number of lines in a street address "
"Offline","غير متصل"
"Online","متصل"
"Online Customers","زبائن متصلون"
"Online Customers Options","Online Customers Options"
"Online Minutes Interval","Online Minutes Interval"
"Order #","طبية #"
"Order #%s (%s)","طلبية #%s (%s)"
"Order List...","قائمة الطلبيات..."
"Order Total","مجموع الطلبية"
"Orders","الطلبيات"
"PDF","PDF"
"Password","كلمة المرور"
"Password Management","إدارة كلمة المرور"
"Password Options","خيارات كلمة المرور"
"Password can't be empty","يجب تعبئة كلمة المرور"
"Password fields can't be empty.","يجب تعبئة كلمة المرور."
"Password forgotten","كلمة مرور منسية"
"Password minimal length must be more %s","طول كلمة المرور يجب أن يكون أكثر من %s"
"Password must have at least 6 characters. Leading or trailing spaces will be ignored.","يجب أن تحتوي كلمة المرور على 6 حروف على الأقل. سيتم تجاهل أي مسافات قبل أو بعد الأحرف."
"Paused","متوقف"
"Payment Method","طريقة الدفع"
"Pending","في الإنتظار"
"Per Website","لكل موقع"
"Personal Information","بيانات شخصية"
"Please enter your email below and we'll send you a new password.","من فضلك قم بإدخال بريدك الإلكتروني بالأسفل وسيتم إرسال كلمة مرور جديدة لك."
"Please enter your email below and we'll send you confirmation link for it.","Please enter your email below and we'll send you confirmation link for it."
"Please enter your email.","من فضلك قم بإدخال بريدك الإلكتروني."
"Please make sure your passwords match.","من فضلك تأكد من تطابق كلمة المرور."
"Please select","من فضلك اختر"
"Please select region, state or province","من فضلك اختر منطقة، ولاية أو مقاطعة"
"Please, check your e-mail for confirmation key.","من فضلك تحقق من بريدك الإلكتروني لتأكيد مفتاح التفعيل."
"Prefix","اللقب"
"Prefix dropdown options","Prefix dropdown options"
"Price","السعر"
"Primary Billing Address","عنوان الدفع الرئيسي"
"Primary Shipping Address","عنوان الشحن الرئيسي"
"Problem saving the collection, aborting. Error: %s","Problem saving the collection, aborting. Error: %s"
"Product","المنتج"
"Product ID","الرمز التعريفي للمنتج"
"Product Name","اسم المنتج"
"Product Reviews","مراجعات المنتج"
"Product Tags","علامات المنتج"
"Product name","اسم المنتج"
"Purchase On","تم شرائه بتاريخ"
"Purchased at","تم شرائه في"
"Qty","الكمية"
"Recent Orders","الطلبيات الأخيرة"
"Records for ""","تسجيل ل  """
"Refunded","تم إعادتها"
"Registered Customers","زبائن مسجلين"
"Remove","حذف"
"Require Emails Confirmation","Require Emails Confirmation"
"Retrieve address data","Retrieve address data"
"Retrieve address info","Retrieve address info"
"Retrieve customer addresses","Retrieve customer addresses"
"Retrieve customer data","Retrieve customer data"
"Retrieve customer's groups","Retrieve customer's groups"
"Retrieve customers","Retrieve customers"
"Retrieve customers info","Retrieve customers info"
"Retrieve your confirmation link here","Retrieve your confirmation link here"
"Retrieve your password here","استعادة كلمة المرور هنا"
"SKU","SKU"
"Sales Statistics","إحصائيات المبيعات"
"Save","حفظ"
"Save Address","حفظ عنوان"
"Save And Continue Edit","Save And Continue Edit"
"Save Customer","حفظ زبون"
"Save Customer Group","حفظ مجموعة زبون"
"Save Password","حفظ كلمة المرور"
"Saved ","تم الحفظ "
"Semicolon (;) separated values.<br/>Put semicolon in the beginning for empty first option.<br/>Leave empty for open text field.","Semicolon (;) separated values.<br/>Put semicolon in the beginning for empty first option.<br/>Leave empty for open text field."
"Send Welcome Email after Confirmation","Send Welcome Email after Confirmation"
"Send auto-generated password","ارسال الرقم السري تلقائي الإنشاء"
"Send confirmation link","Send confirmation link"
"Send welcome email","ارسال رسالة ترحيب"
"Sending","جار الإرسال"
"Sent","تم الإرسال"
"Session Start Time","Session Start Time"
"Set as Default Billing Address","وضعها كعنوان فاتورة افتراضية"
"Set as Default Shipping Address","وضع كعنوان شحن افتراضي"
"Share Customer Accounts","مشاركة حساب العميل"
"Ship to First name","الشحن للإسم الأول"
"Ship to Last name","شحن لإسم العائلة"
"Shipped to First Name","شحنت للإسم الأول"
"Shipped to Last Name","شحنت لإسم العائلة"
"Shipped to Name","شحنت للإسم"
"Shipping Information","بيانات الشحن"
"Shipping Method","طريقة الشحن"
"Shopping Cart","عربة التسوق"
"Shopping Cart - %d item(s)","سلة التسوق - %d عنصر(s)"
"Show Tax/VAT number","عرض الرقم الضريبي"
"Show date of birth","عرض تاريخ الميلاد"
"Show middle name (initial)","Show middle name (initial)"
"Show prefix","عرض اللقب"
"Show suffix","Show suffix"
"Sign Up for Newsletter","الإشتراك بالنشرة البريدية"
"Sign up for our newsletter","الإشتراك بنشرتنا البريدية"
"Skip import row, required field ""%s"" not defined","تخطى الواردات على التوالي ، في الحقل مطلوب ""%s""غير معرفة"
"Skip import row, website ""%s"" field not exists","تخطى الواردات على التوالى ، الموقع الالكتروني ""%s"" لم يتم العثور على الحقل"
"State/Province","ولاية/مقاطعة"
"Status","الحالة"
"Store","المتجر"
"Store View","عرض المتجر"
"Street Address","عنوان الشارع"
"Street Address ","عنوان الشارع "
"Subject","الموضوع"
"Submit","إرسال"
"Subscribe","إشتراك"
"Subscribe to newsletter","الإشتراك بالنشرة البريدية"
"Subscribed to Newsletter?","هل تود الإشتراك بالنشرة البريدية؟"
"Suffix","Suffix"
"Suffix dropdown options","Suffix dropdown options"
"TAX/VAT number is required.","رقم الموبايل مطلوب."
"The TAX/VAT number is required.","رقم الموبايل مطلوب."
"Tag Name","إسم الوسم"
"Tax Class","طبقة الضرائب"
"Tax class","طبقة الضرائب"
"Tax/VAT number","Tax/VAT number"
"Telephone","هاتف"
"Text","نص"
"Text One Line","النص على الشبكة"
"Thank you for registering with %s","شكرا للتسجيل مع  %s"
"The address does not belong to this customer","العنوان لا يخص هذا الزبون"
"The address was successfully deleted","تم حذف العنوان بنجاح"
"The address was successfully saved","تم حفظ العنوان بنجاح"
"The suffix that goes after name (Jr., Sr., etc.)","The suffix that goes after name (Jr., Sr., etc.)"
"The title that goes before name (Mr., Mrs., etc.)","The title that goes before name (Mr., Mrs., etc.)"
"There are no items in customer's wishlist at the moment","لا يوجد سلع بقائمة الأمنيات الخاصة بالزبون في هذه اللحظة"
"There are no items in customer's shopping cart at the moment","لا يوجد سلع في عربة التسوق الخاصة الزبون في هذه اللحظة"
"There was an error while deleting the address","حدث خطأ أثناء خذف العنوان"
"This Email will be sent instead of Default Welcome Email, after Account Confirmation.","This Email will be sent instead of Default Welcome Email, after Account Confirmation."
"This account is not confirmed.","هذا الحساب غير مفعّل."
"This customer has no saved addresses.","لا يوجد لهذا الزبون عناوين محفوظة."
"This e-mail does not require confirmation.","This e-mail does not require confirmation."
"This email address was not found in our records","لم يتم إيجاد هذا البريد الإلكتروني في سجلاتنا"
"This is My Primary %s Address","هذا هو عنواني المبدئي %s "
"To Cart","إلى عربة التسوق"
"Total","الإجمالي"
"Type","نوع"
"Unknown","غير معروف"
"Unsubscribe from newsletter","إلغاء الاشتراك في النشرة البريدية"
"Update","تحديث"
"Update customer address data","تحديث معلومات عنوان الزبون"
"Update customer data","تحديث بيانات الزبون"
"Use as My Primary %s Address","استخدم كعنواني الأساسي %s "
"Use as my default billing address","استخدم كعنوان الدفع الافتراضي"
"Use as my default shipping address","استخدم كعنوان الشحن الافتراضي"
"User description","وصف المستخدم"
"View","عرض"
"View Order","عرض الطلبية"
"View Order List","عرض قائمة الطلبيات"
"Visible In","Visible In"
"Visitor","زائر"
"Visitors Only","الزوار فقط"
"Website","موقع"
"Welcome Email","بريد الترحيب"
"Wishlist","قائمة الأمنيات"
"Wishlist - %d item(s)","قائمة الاماني - %d عنصر(s)"
"Wrong confirmation key.","كود تفعيل خاطئ."
"Wrong customer account specified.","Wrong customer account specified."
"Wrong email.","بريد إلكتروني خاطئ."
"Wrong region id by selected country","رقم تعريف المنطقة الخطأ من جانب البلدان المختاره"
"Wrong transactional account email type.","Wrong transactional account email type."
"XML","XML"
"YYYY","السنة"
"Year","السنة"
"You are currently not subscribed to any newsletter.","أنت غير مشترك في أية نشرة بريدية حالياً."
"You are currently not subscribed to our newsletter","أنت غير مشترك في أية نشرة بريدية حالياً"
"You are currently subscribed to 'General Subscription'.","انت مشترك حالياً في 'النشرة العامة'."
"You are currently subscribed to our newsletter","أنت حاليا مشترك في نشرتنا البريدية"
"You are currently subscribed to our newsletter.","أنت حاليا مشترك في نشرتنا البريدية."
"You have been successfully logged out and will be redirected to our homepage in 5 seconds.","لقد قمت بتسجيل خروجك بنجاح وسيتم تحويلك إلى صفحتنا الرئيسية في خلال 5 ثوان."
"You have no additional address entries in your address book.","لا يوجد لديك عنوان إضافي في دفتر العناوين الخاص بك"
"You have no additional entries in your address book.","لا يوجد لديك مداخل اضافية في دفتر العناوين الخاص بك."
"You have no default billing address in your address book.","لا يوجد لديك عنوان الفاتوره التقصير في دفتر العناوين الخاص بك."
"You have no default shipping address in your address book.","لا يوجد لديك عنوان الشحن الافتراضي في دفتر العناوين الخاص بك."
"You have no primary entries in your address book.","لا يوجد لديك الاولية والمدخلات في دفتر العناوين الخاص بك."
"You have not set a primary billing address.","أنت لم تحدد عنوان الدفع الإفتراضي."
"You have not set a primary shipping address.","انت لم تحدد عنوان الشحن الإفتراضي."
"You have placed no orders yet.","أنت لم تطلب أي طلبية بعد."
"You have placed no products yet.","انت لم تضع منتج بعد."
"You're now Logged Out","تم تسجيل الخروج بنجاح"
"Your account balance is: %s","ان رصيد حسابك هو: %s"
"ZIP","الرمز البريدي"
"ZIP/Post Code","الرمز البريدي"
"ZIP/Postal Code","الرمز البريدي"
"Zip/Postal Code","الرمز البريدي"
"n/a","n/a"
"or","أو"
"Please enter your email below and we'll send you a new password.","يرجى إدخال بريدك الإلكتروني وسنقوم بإرسال كلمة المرور الجديدة."
"First name can't be empty","First name can't be empty"
"Last name can't be empty","Last name can't be empty"
"Password can't be empty","Password can't be empty"
"My Account","حسابي"
"Log In","تسجيل الدخول"
"New Customers","زبائن جديدون"
"By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more.","By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more."
"Registered Customers","زبائن مسجلين"
"If you have an account with us, please log in.","يرجى تسجيل الدخول إذا كان عندك حساب على jordanshopper.com."
"Email Address","عنوان البريد الإلكتروني"
"Password","كلمة المرور"
"* Required Fields","* حقول مطلوبة"
"Forgot Your Password?","هل نسيت كلمة المرور؟"
"Retrieve your password here","احصل على كلمة المرور هنا"
"Please enter your email below and we'll send you a new password.","Please enter your email below and we'll send you a new password."
"Back to Login","العودة إلى تسجيل الدخول"
"Submit","إرسال"
"My Dashboard","لوحة التحكم"
"From your My Account Dashboard you have the ability to view a snapshot of your recent account activity and update your account information. Select a link below to view or edit information.","From your My Account Dashboard you have the ability to view a snapshot of your recent account activity and update your account information. Select a link below to view or edit information."
"Contact Information","معلومات الإتصال"
"Address Book","دفتر العناوين"
"Account Information","معلومات الحساب"
"Thank you for registering with %s","شكراً لتسجيلك مع %s"
"Newsletter Subscription","اشتراك في القائمة البريدية"
"You have not set a default billing address.","You have not set a default billing address."
"You have not set a default shipping address.","You have not set a default shipping address."
"Login or Create an Account","تسجيل دخول أو إنشاء حساب"
"Personal Information","المعلومات الشخصية"
"Sign Up for Newsletter","الإشتراك في القائمة البريدية"
"Default Shipping Address","عنوان الشحن الإفتراضي"
"Login","تسجيل الدخول"
"Invalid login or password.","معلومات المستخدم أو كلمة المرور غير صحيحة."
"Edit Account Information","تحرير معلومات الحساب"
"Log Out","تسجيل الخروج"
"Or Login using Facebook","او سجل حسابك عن طريق الفيس بوك"
"Full Name","الاسم الكامل"
"There is already an account with this email address. If you are sure that it is your email address, <a href=""%s"">click here</a> to get your password and access your account.","لقد تم التسجيل بهذا الحساب مسبقاً، إن كنت تملك هذا الحساب و نسيت كلمة المرور <a href=""%s"">انقر هنا</a> لإعادة تعريف كلمة المرور"
"The leading online shopping for fresh fruit, vegetable and groceries with ","الموقع الرائد لتسوق الخضار والفواكة عبر الانترنت مع "
"FREE DELIVERY","خدمة التوصيل مجانا"
" to your door."," لباب بيتك"
"Register with us and get the best offers","سجل معنا واحصل على افضل العروض"
"Email Address/Username","البريد الإلكتروني‫/‬اسم المستخدم"
"Username","اسم المستخدم"
"Legal Terms & Conditions","الشروط والإنفاقية"
"I have read and agreed to the ","قرأت واوافق على"
"Terms & Conditions.","الشروط والإتفاقية"
"Create Account","إنشاء حساب"
"Please enter your email address or username below. You will receive a link to reset your password.","الرجاء ادخال البريد الالكتروني او اسم المستخدم الخاص بك‫.‬ سوف يصلك رابط لإعادة ضبط كلمة السر الخاصة بك‫.‬"
